[999, 0]
[422, 2]
[421, 2]
[420, 2]
[419, 2]
[418, 2]
[417, 2]
[416, 2]
[415, 2]
[414, 2]
[413, 2]
[412, 2]
[411, 2]
[410, 2]
[409, 2]
[408, 2]
[407, 2]
[406, 2]
[405, 2]
[404, 2]
[403, 2]
[402, 2]
[401, 2]
[400, 2]
[399, 2]
[398, 2]
[397, 2]
[396, 2]
[395, 2]
[394, 2]
[393, 2]
[392, 2]
[391, 2]
[390, 2]
[389, 2]
[388, 2]
[387, 2]
[386, 2]
[385, 2]
[384, 2]
[383, 2]
[382, 2]
[381, 2]
[380, 2]
[379, 2]
[378, 2]
[377, 2]
[376, 2]
[375, 2]
[374, 2]
[373, 2]
[372, 2]
[371, 2]
[370, 2]
[369, 2]
[368, 2]
[367, 2]
[366, 2]
[365, 2]
[364, 2]
[363, 2]
[362, 2]
[361, 2]
[360, 2]
[359, 2]
[358, 2]
[357, 2]
[356, 2]
[355, 2]
[354, 2]
[353, 2]
[352, 2]
[351, 2]
[350, 2]
[349, 2]
[348, 2]
[347, 2]
[346, 2]
[345, 2]
[344, 2]
[343, 2]
[342, 2]
[341, 2]
[340, 2]
[339, 2]
[338, 2]
[337, 2]
[336, 2]
[335, 2]
[334, 2]
[333, 2]
[332, 2]
[331, 2]
[330, 2]
[329, 2]
[328, 2]
[327, 2]
[326, 2]
[325, 2]
[324, 2]
[323, 2]
[322, 2]
[321, 2]
[320, 2]
[319, 2]
[318, 2]
[317, 2]
[316, 2]
[315, 2]
[314, 2]
[313, 2]
[312, 2]
[311, 2]
[310, 2]
[309, 2]
[308, 2]
[307, 2]
[306, 2]
[305, 2]
[304, 2]
[303, 2]
[302, 2]
[301, 2]
[300, 2]
[299, 2]
[298, 2]
[297, 2]
[296, 2]
[295, 2]
[294, 2]
[293, 2]
[292, 2]
[291, 2]
[290, 2]
[289, 2]
[288, 2]
[287, 2]
[286, 2]
[285, 2]
[284, 2]
[283, 2]
[282, 2]
[281, 2]
[280, 2]
[279, 2]
[278, 2]
[277, 2]
[276, 2]
[275, 2]
[274, 2]
[273, 2]
[272, 2]
[271, 2]
[270, 2]
[269, 2]
[268, 2]
[267, 2]
[266, 2]
[265, 2]
[264, 2]
[263, 2]
[262, 2]
[261, 2]
[260, 2]
[259, 2]
[258, 2]
[257, 2]
[256, 2]
[255, 2]
[254, 2]
[253, 2]
[252, 2]
[251, 2]
[250, 2]
[249, 2]
[248, 2]
[247, 2]
[246, 2]
[245, 2]
[244, 2]
[243, 2]
[242, 2]
[241, 2]
[240, 2]
[239, 2]
[238, 2]
[237, 2]
[236, 2]
[235, 2]
[234, 2]
[233, 2]
[232, 2]
[231, 2]
[230, 2]
[229, 2]
[228, 2]
[227, 2]
[226, 2]
[225, 2]
[224, 2]
[223, 2]
[222, 2]
[221, 2]
[220, 2]
[219, 2]
[218, 2]
[217, 2]
[216, 2]
[215, 2]
[214, 2]
[213, 2]
[212, 2]
[211, 2]
[210, 2]
[209, 2]
[208, 2]
[207, 2]
[206, 2]
[205, 2]
[204, 2]
[203, 2]
[202, 2]
[201, 2]
[200, 2]
[199, 2]
[198, 2]
[197, 2]
[196, 2]
[195, 2]
[194, 2]
[193, 2]
[192, 2]
[191, 2]
[190, 2]
[189, 2]
[188, 2]
[187, 2]
[186, 2]
[185, 2]
[184, 2]
[183, 2]
[182, 2]
[181, 2]
[180, 2]
[179, 2]
[178, 2]
[177, 2]
[176, 2]
[175, 2]
[174, 2]
[173, 2]
[172, 2]
[171, 2]
[171, 3]
[170, 3]
[169, 3]
[168, 3]
[167, 3]
[166, 3]
[165, 3]
[164, 3]
[163, 3]
[162, 3]
[161, 3]
[160, 3]
[159, 3]
[158, 3]
[157, 3]
[156, 3]
[155, 3]
[154, 3]
[153, 3]
[152, 3]
[151, 3]
[150, 3]
[149, 3]
[148, 3]
[147, 3]
[146, 3]
[145, 3]
[144, 3]
[143, 3]
[142, 3]
[141, 3]
[140, 3]
[139, 3]
[138, 3]
[137, 3]
[136, 3]
[135, 3]
[134, 3]
[133, 3]
[132, 3]
[131, 3]
[130, 3]
[129, 3]
[128, 3]
[127, 3]
[126, 3]
[125, 3]
[124, 3]
[123, 3]
[122, 3]
[121, 3]
[120, 3]
[119, 3]
[118, 3]
[117, 3]
[116, 3]
[115, 3]
[114, 3]
[113, 3]
[112, 3]
[111, 3]
[110, 3]
[110, 4]
[109, 4]
[108, 4]
[107, 4]
[106, 4]
[105, 4]
[104, 4]
[103, 4]
[102, 4]
[101, 4]
[100, 4]
[99, 4]
[98, 4]
[97, 4]
[96, 4]
[95, 4]
[94, 4]
[93, 4]
[92, 4]
[91, 4]
[90, 4]
[89, 4]
[88, 4]
[87, 4]
[86, 4]
[85, 4]
[84, 4]
[83, 4]
[82, 4]
[81, 4]
[80, 4]
[79, 4]
[78, 4]
[77, 4]
[76, 4]
[75, 4]
[74, 4]
[73, 4]
[72, 4]
[71, 4]
[70, 4]
[69, 4]
[68, 4]
[67, 4]
[66, 4]
[65, 4]
[64, 4]
[63, 4]
[62, 4]
[61, 4]
[60, 4]
[59, 4]
[58, 4]
[57, 4]
[56, 4]
[55, 4]
[54, 4]
[53, 4]
[52, 4]
[51, 4]
[50, 4]
[49, 4]
[48, 4]
[47, 4]
[46, 4]
[45, 4]
[44, 4]
[43, 4]
[42, 4]
[41, 4]
[40, 4]
[39, 4]
[38, 4]
[37, 4]
[36, 4]
[35, 4]
[34, 4]
[33, 4]
[32, 4]
[31, 4]
[30, 4]
[29, 4]
[28, 4]
[27, 4]
[26, 4]
[25, 4]
[24, 4]
[23, 4]
[22, 4]
[21, 4]
[20, 4]
[19, 4]
[18, 4]
[17, 4]
[16, 4]
[15, 4]
[14, 4]
[13, 4]
[12, 4]
[11, 4]
[10, 4]
[9, 4]
[8, 4]
[7, 4]
[6, 4]
[5, 4]
[4, 4]
[3, 4]
[2, 4]
[1, 4]
51656
